-100.0	3.0	0.0	0.0	-50.0
-100.0	2.0	0.0	0.0	-100.0
-120.0	1.0	0.0	-60.0	-100.0
-120.0	1.0	-60.0	-60.0	-100.0
-120.0	2.0	-90.0	-60.0	-100.0
-220.0	3.0	-90.0	-170.0	-100.0
-200.0	3.0	-90.0	-170.0	-200.0
-200.0	2.0	-90.0	-170.0	-250.0
-120.0	1.0	-90.0	-230.0	-250.0
-10.0	1.0	-95.0	-230.0	-250.0
-10.0	1.0	-100.0	-230.0	-250.0
-10.0	2.0	-102.5	-230.0	-250.0
-10.0	2.0	-102.5	-235.0	-250.0
-10.0	2.0	-102.5	-239.975	-250.0
-10.0	1.0	-102.5	-243.7	-250.0
-10.0	1.0	-107.4625	-243.7	-250.0
-10.0	1.0	-112.4001875	-243.7	-250.0
-10.0	2.0	-115.48159375	-243.7	-250.0
-10.0	2.0	-115.48159375	-248.6315	-250.0
-10.0	2.0	-115.48159375	-253.5383425	-250.0
-10.0	1.0	-115.48159375	-256.90756015625	-250.0
-10.0	3.0	-134.990796875	-256.90756015625	-250.0
20.0	2.0	-134.990796875	-256.90756015625	-228.31924227734373
-10.0	2.0	-134.990796875	-261.77302235546875	-228.31924227734373
-10.0	3.0	-134.990796875	-264.90453610501953	-228.31924227734373
20.0	3.0	-134.990796875	-264.90453610501953	-218.17764606595702
20.0	3.0	-134.990796875	-264.90453610501953	-208.08675783562725
20.0	3.0	-134.990796875	-264.90453610501953	-198.04632404644912
20.0	3.0	-134.990796875	-264.90453610501953	-188.05609242621685
20.0	3.0	-134.990796875	-264.90453610501953	-178.11581196408576
20.0	3.0	-134.990796875	-264.90453610501953	-168.22523290426534
20.0	3.0	-134.990796875	-264.90453610501953	-158.38410673974403
